year,age1
1970,1241
1971,3248
1972,3688
1973,10857
1974,2188
1975,2232
1976,8953
1977,12184
1978,14532
1979,26005
1980,13166
1981,7372
1982,7376
1983,5129
1984,6122
1985,15108
1986,4289
1987,1890
1988,4887
1989,11439
1990,8504
1991,3341
1992,2396
1993,1749
1994,1783
1995,6691
1996,3187
1997,1517
1998,1452
1999,1780
2000,6425
2001,7006
2002,1041
2003,796
2004,767
2005,1848
2006,6092
2007,5923
2008,7061
2009,3224
2010,1311
2011,5118
2012,932
2013,44193
2014,2840
2015,71
2016,10
2017,2078
2018,7727
2019,5450
2020,197
2021,10296
2022,65
